Observer;SessionID;Block;Trial;OnsetDelay;Yellow;Switch;SwitchTime;Gap;Direction;Response;RT
ERK91m;2017-05-31-11-45-04;1;1;0,822651602666;True;both;1,1;0,15;-1;both;109,667000055
ERK91m;2017-05-31-11-45-04;1;2;1,00325813363;False;both;1,1;0,0;-1;both;19,6099998951
ERK91m;2017-05-31-11-45-04;1;3;1,01534366531;True;right;1,3;0,0;-1;right;2,62700009346
ERK91m;2017-05-31-11-45-04;1;4;0,982776841443;False;left;1,5;0,0;1;left;0,50200009346
ERK91m;2017-05-31-11-45-04;1;5;1,10287933373;True;right;1,3;0,15;1;right;0,917999982834
ERK91m;2017-05-31-11-45-04;1;6;1,10672833317;False;right;1,9;0,15;-1;left;3,08299994469
ERK91m;2017-05-31-11-45-04;1;7;0,961769042428;True;neither;1,5;0,0;1;neither;1,33200001717
ERK91m;2017-05-31-11-45-04;1;8;1,16572133496;False;both;1,3;0,15;1;right;0,507999897003
ERK91m;2017-05-31-11-45-04;1;9;0,968133524488;True;left;1,5;0,15;-1;neither;0,463000059128
ERK91m;2017-05-31-11-45-04;1;10;0,959054687682;False;left;1,1;0,0;-1;left;0,0
ERK91m;2017-05-31-11-45-04;1;11;0,968778719242;True;right;1,3;0,15;-1;right;0,368999958038
ERK91m;2017-05-31-11-45-04;1;12;1,15643099801;False;left;1,3;0,15;-1;left;0,603999853134
ERK91m;2017-05-31-11-45-04;1;13;1,07645050295;True;right;1,5;0,0;-1;right;0,588000059128
ERK91m;2017-05-31-11-45-04;1;14;0,950424760405;False;left;1,1;-0,15;1;left;0,0410001277924
ERK91m;2017-05-31-11-45-04;1;15;0,81798097454;True;neither;1,9;-0,15;1;neither;1,03000020981
ERK91m;2017-05-31-11-45-04;1;16;1,02340664713;False;right;1,7;-0,15;1;neither;0,454999923706
ERK91m;2017-05-31-11-45-04;1;17;0,950370596029;True;both;1,5;0,0;-1;both;0,914999961853
ERK91m;2017-05-31-11-45-04;1;18;0,947207855488;False;right;1,1;0,0;1;right;0,0
ERK91m;2017-05-31-11-45-04;1;19;0,863646849248;True;right;1,3;-0,15;-1;neither;0,885999917984
ERK91m;2017-05-31-11-45-04;1;20;0,8099394135;False;right;1,1;0,15;1;right;0,0
